altitude,temperature,density,pressure
37800,244.264,0.00552927,387.6940676
37900,244.541,0.00544725,382.376228
38000,244.818,0.00536653,377.1367035
38100,245.094,0.00528711,371.9742863
38200,245.371,0.00520895,366.8895271
38300,245.648,0.00513203,361.8797756
38400,245.924,0.00505634,356.9431703
38500,246.201,0.00498185,352.0808087
38600,246.478,0.00490854,347.2900887
38700,246.754,0.00483639,342.5684869
38800,247.031,0.00476539,337.9183679
38900,247.308,0.0046955,333.3357574
39000,247.584,0.00462672,328.819592
39100,247.861,0.00455903,324.3713893
39200,248.137,0.0044924,319.9866349
39300,248.414,0.00442682,315.6674665
39400,248.69,0.00436227,311.410146
39500,248.967,0.00429873,307.2160124
39600,249.244,0.00423619,303.0833204
39700,249.52,0.00417463,299.0096777
39800,249.797,0.00411403,294.996298
39900,250.073,0.00405438,291.0403127
40000,250.35,0.00399566,287.1428556
40100,250.626,0.00393786,283.3011178
40200,250.903,0.00388095,279.5154351
40300,251.179,0.00382494,275.784496
40400,251.456,0.00376979,272.1078396
40500,251.732,0.0037155,268.4834905
40600,252.009,0.00366205,264.9123554
40700,252.285,0.00360943,261.3917923
40800,252.561,0.003557862,257.9391598
40900,252.838,0.00350661,254.5022972
41000,253.114,0.00345639,251.1312743
41100,253.391,0.00340695,247.8100063
41200,253.667,0.00335826,244.5345241
41300,253.944,0.00331033,241.3076773
41400,254.22,0.00326313,238.1255432
41500,254.496,0.00321666,234.9892595
41600,254.773,0.0031709,231.8984471
41700,255.049,0.00312584,228.8507093
41800,255.325,0.00308147,225.8464029
41900,255.602,0.00303778,222.8858303
42000,255.878,0.00299475,219.9659276
42100,256.154,0.00295238,217.0877363
42200,256.431,0.00291066,214.2515127
42300,256.707,0.00286957,211.4542547
42400,256.983,0.00282911,208.6969595
42500,257.26,0.00278926,205.9791006
42600,257.536,0.00275001,203.2984711
42700,257.812,0.00271136,200.6560257
42800,258.088,0.0026733,198.0511661
42900,258.365,0.00263581,195.4833061
43000,258.641,0.00259888,192.9503146
43100,258.917,0.00256252,190.4538356
43200,259.193,0.0025267,187.9917723
43300,259.47,0.00249141,185.5642234
43400,259.746,0.00245667,183.171366
43500,260.022,0.00242244,180.8110702
43600,260.298,0.00238872,178.4834575
43700,260.575,0.00235552,176.1900731
43800,260.851,0.0023228,173.9266839
43900,261.127,0.00229058,171.6955887
44000,261.403,0.00225884,169.4954056
44100,261.679,0.00222757,167.3254976
44200,261.955,0.00219677,165.1859764
44300,262.232,0.00216643,163.0768228
44400,262.508,0.00213654,160.9961404
44500,262.784,0.00210709,158.9439122
44600,263.06,0.00207808,156.9202429
44700,263.336,0.0020495,154.9244812
44800,263.612,0.00202134,152.9559725
44900,263.888,0.0019936,151.0148167
45000,264.164,0.00196627,149.1003554
45100,264.44,0.00193934,147.2119268
45200,264.716,0.00191281,145.349626
45300,264.992,0.00188668,143.5135482
45400,265.269,0.00186092,141.7020382
45500,265.545,0.00183555,139.9156328
45600,265.821,0.00181054,138.1526771
45700,266.097,0.0017859,136.4140205
45800,266.373,0.00176163,134.699751
45900,266.649,0.00173771,133.0084257
46000,266.925,0.00171414,131.3401277
46100,267.201,0.00169091,129.6941733
46200,267.477,0.00166803,128.071411
46300,267.753,0.00164547,126.4696182
46400,268.029,0.00162325,124.8904099
46500,268.304,0.00160135,123.3318667
46600,268.58,0.00157976,121.7942193
46700,268.856,0.00155849,120.2778472
46800,269.132,0.00153753,118.7820539
46900,269.408,0.00151687,117.3061397
47000,269.684,0.00149651,115.8501759
47100,269.96,0.00147645,114.4142339
47200,270.236,0.00145667,112.9968335
47300,270.512,0.00143718,111.5988177
47400,270.65,0.00141869,110.2192451
47500,270.65,0.00140116,108.8573244
47600,270.65,0.00138384,107.5117187
47700,270.65,0.00136674,106.183205
47800,270.65,0.00134985,104.8710064
47900,270.65,0.0013317,103.4609173
48000,270.65,0.00131669,102.2947775
48100,270.65,0.00130042,101.0307472
48200,270.65,0.00128435,99.7822551
48300,270.65,0.00126849,98.55007807
48400,270.65,0.00125281,97.3318854
48500,270.65,0.00123733,96.12923089
48600,270.65,0.00122205,94.94211457
48700,270.65,0.00120695,93.76898259
48800,270.65,0.00119204,92.61061188
48900,270.65,0.00117731,91.46622552
49000,270.65,0.00116277,90.33660043
49100,270.65,0.0011484,89.22018278
49200,270.65,0.00113422,88.1185264
49300,270.65,0.00112021,87.03007746
49400,270.65,0.00110637,85.95483597
49500,270.65,0.00109927,85.40323086
49600,270.65,0.00107921,83.84475223
