geometric_altitude,geopotential_altitude,temperature_kelvin,temperature_centigrade,pressure,density,gravity
23900.0,23810.0,220.46,-5269.0,30.1778,0.0476865,9.7333
23950.0,23860.0,220.51,-5264.0,29.9467,0.0473106,9.7332
24000.0,23910.0,220.56,-5259.0,29.7174,0.0469377,9.733
24050.0,23959.0,220.609,-5254.1,29.4898,0.0465679,9.7329
24100.0,24009.0,220.659,-5249.1,29.2641,0.046201,9.7327
24150.0,24059.0,220.709,-5244.1,29.0402,0.0458372,9.7326
24200.0,24108.0,220.758,-5239.2,28.818,0.0454762,9.7324
24250.0,24158.0,220.808,-5234.2,28.5976,0.0451183,9.7323
24300.0,24207.0,220.857,-5229.3,28.3789,0.0447632,9.7321
24350.0,24257.0,220.907,-5224.3,28.1619,0.044411,9.7319
24400.0,24307.0,220.957,-5219.3,27.9467,0.0440617,9.7318
24450.0,24356.0,221.006,-5214.4,27.7331,0.0437151,9.7316
24500.0,24406.0,221.056,-5209.4,27.5212,0.0433714,9.7315
24550.0,24456.0,221.106,-5204.4,27.311,0.0430305,9.7313
24600.0,24505.0,221.155,-5199.5,27.1025,0.0426924,9.7312
24650.0,24555.0,221.205,-5194.5,26.8956,0.0423569,9.731
24700.0,24604.0,221.254,-5189.6,26.6903,0.0420242,9.7309
24750.0,24654.0,221.304,-5184.6,26.4866,0.0416942,9.7307
24800.0,24704.0,221.354,-5179.6,26.2846,0.0413669,9.7306
24850.0,24753.0,221.403,-5174.7,26.0841,0.0410422,9.7304
24900.0,24803.0,221.453,-5169.7,25.8852,0.0407201,9.7303
24950.0,24852.0,221.502,-5164.8,25.6879,0.0404006,9.7301
25000.0,24902.0,221.552,-5159.8,25.4921,0.0400837,9.73
25050.0,24952.0,221.602,-5154.8,25.2979,0.0397694,9.7298
25100.0,25001.0,221.651,-5149.9,25.1052,0.0394576,9.7297
25150.0,25051.0,221.701,-5144.9,24.914,0.0391483,9.7295
25200.0,25100.0,221.75,-5140.0,24.7243,0.0388416,9.7294
25250.0,25150.0,221.8,-5135.0,24.5361,0.0385373,9.7292
25300.0,25200.0,221.85,-5130.0,24.3493,0.0382355,9.7291
25350.0,25249.0,221.899,-5125.1,24.1641,0.037936,9.7289
25400.0,25299.0,221.949,-5120.1,23.9802,0.037639,9.7287
25450.0,25349.0,221.999,-5115.1,23.7979,0.0373445,9.7286
25500.0,25398.0,222.048,-5110.2,23.6169,0.0370522,9.7284
25550.0,25448.0,222.098,-5105.2,23.4374,0.0367624,9.7283
25600.0,25497.0,222.147,-5100.3,23.2593,0.0364748,9.7281
25650.0,25547.0,222.197,-5095.3,23.0826,0.0361896,9.728
25700.0,25597.0,222.247,-5090.3,22.9072,0.0359067,9.7278
25750.0,25646.0,222.296,-5085.4,22.7333,0.0356261,9.7277
25800.0,25696.0,222.346,-5080.4,22.5607,0.0353477,9.7275
25850.0,25745.0,222.395,-5075.5,22.3894,0.0350716,9.7274
25900.0,25795.0,222.445,-5070.5,22.2195,0.0347977,9.7272
25950.0,25844.0,222.494,-5065.6,22.0509,0.034526,9.7271
26000.0,25894.0,222.544,-5060.6,21.8837,0.0342565,9.7269
26050.0,25944.0,222.594,-5055.6,21.7177,0.0339891,9.7268
26100.0,25993.0,222.643,-5050.7,21.5531,0.0337239,9.7266
26150.0,26043.0,222.693,-5045.7,21.3897,0.0334608,9.7265
26200.0,26092.0,222.742,-5040.8,21.2276,0.0331998,9.7263
26250.0,26142.0,222.792,-5035.8,21.0668,0.032941,9.7262
26300.0,26192.0,222.842,-5030.8,20.9072,0.0326842,9.726
26350.0,26241.0,222.891,-5025.9,20.7489,0.0324295,9.7259
26400.0,26291.0,222.941,-5020.9,20.5918,0.0321768,9.7257
26450.0,26340.0,222.99,-5016.0,20.436,0.0319262,9.7255
26500.0,26390.0,223.04,-5011.0,20.2813,0.0316775,9.7254
26550.0,26440.0,223.09,-5006.0,20.1279,0.0314309,9.7252
26600.0,26489.0,223.139,-5001.1,19.9756,0.0311862,9.7251
26650.0,26539.0,223.189,-4996.1,19.8246,0.0309435,9.7249
26700.0,26588.0,223.238,-4991.2,19.6747,0.0307028,9.7248
26750.0,26638.0,223.288,-4986.2,19.526,0.0304639,9.7246
26800.0,26687.0,223.337,-4981.3,19.3785,0.030227,9.7245
26850.0,26737.0,223.387,-4976.3,19.232,0.029992,9.7243
26900.0,26787.0,223.437,-4971.3,19.0868,0.0297589,9.7242
26950.0,26836.0,223.486,-4966.4,18.9427,0.0295276,9.724
27000.0,26886.0,223.536,-4961.4,18.7997,0.0292982,9.7239
27050.0,26935.0,223.585,-4956.5,18.6578,0.0290706,9.7237
27100.0,26985.0,223.635,-4951.5,18.517,0.0288449,9.7236
27150.0,27035.0,223.685,-4946.5,18.3773,0.0286209,9.7234
27200.0,27084.0,223.734,-4941.6,18.2387,0.0283988,9.7233
27250.0,27134.0,223.784,-4936.6,18.1012,0.0281784,9.7231
27300.0,27183.0,223.833,-4931.7,17.9647,0.0279598,9.723
27350.0,27233.0,223.883,-4926.7,17.8293,0.0277429,9.7228
27400.0,27282.0,223.932,-4921.8,17.695,0.0275278,9.7227
